codigo;descricao;fabricacao;bitola;unidade 
AM-03-02;APOIO PARA MASTRO, FABRICADO EM AÇO  GALVANIZADO A FOGO;TERMOTÉCNICA OU SIMILAR;"1 1/2""";pç 
AM-03-03;APOIO PARA MASTRO, FABRICADO EM AÇO  GALVANIZADO A FOGO;TERMOTÉCNICA OU SIMILAR;"2""";pç 
RA-05-51;ARAME EM AÇO GALVANIZADO.;CREMONEZI OU SIMILAR;N-14;m 
RA-05-52;ARAME EM AÇO GALVANIZADO.;CREMONEZI OU SIMILAR;N-12;m 
RA-05-53;ARAME EM AÇO GALVANIZADO.;CREMONEZI OU SIMILAR;1,24mm;m 
RC-10-53;"ARMAÇÃO SECUNDÁRIA (PRESBOW) EM CHAPA DE AÇO CARBONO DE 1/8"", COM HASTE DE ARMAÇÃO ZINCADA A FRIO, CONTRA-PINO COBREADO, TIPO LEVE.";FORJASUL OU SIMILAR;2 ESTR. x 2 ROLD;pç 
RC-10-54;"ARMAÇÃO SECUNDÁRIA (PRESBOW) EM CHAPA DE AÇO CARBONO DE 1/8"", COM HASTE DE ARMAÇÃO ZINCADA A FRIO, CONTRA-PINO COBREADO, TIPO LEVE.";FORJASUL OU SIMILAR;2 ESTR. x 3 ROLD;pç 
RC-10-55;"ARMAÇÃO SECUNDÁRIA (PRESBOW) EM CHAPA DE AÇO CARBONO DE 1/8"", COM HASTE DE ARMAÇÃO ZINCADA A FRIO, CONTRA-PINO COBREADO, TIPO LEVE.";FORJASUL OU SIMILAR;3 ESTR.x 3 ROLD;pç 
RC-10-56;"ARMAÇÃO SECUNDÁRIA (PRESBOW) EM CHAPA DE AÇO CARBONO DE 1/8"", COM HASTE DE ARMAÇÃO ZINCADA A FRIO, CONTRA-PINO COBREADO, TIPO LEVE.";FORJASUL OU SIMILAR;3 ESTR.x 4 ROLD;pç 
RC-10-59;"ARMAÇÃO SECUNDÁRIA (PRESBOW) EM CHAPA DE AÇO CARBONO DE 1/8"", COM HASTE DE ARMAÇÃO ZINCADA A FRIO, CONTRA-PINO COBREADO, TIPO LEVE.";FORJASUL OU SIMILAR;5 ESTR.x 5 ROLD;pç 
OA-3O-L;ARRUELA DE ESPORÃO EM AÇO LAMINADO GALVANIZADO A QUENTE.;FORJASUL OU SIMILAR;18mm;pç 
OA-1G-D;ARRUELA DE PRESSÃO FABRICADA EM AÇO CARBONO BICROMATIZADO.;POLEODUTO OU SIMILAR;"5/32""";pç 
OA-1G-E;ARRUELA DE PRESSÃO FABRICADA EM AÇO CARBONO BICROMATIZADO.;POLEODUTO OU SIMILAR;"3/16""";pç 
OA-1G-F;ARRUELA DE PRESSÃO FABRICADA EM AÇO CARBONO BICROMATIZADO.;POLEODUTO OU SIMILAR;"1/4""";pç 
OA-1G-G;ARRUELA DE PRESSÃO FABRICADA EM AÇO CARBONO BICROMATIZADO.;POLEODUTO OU SIMILAR;"5/16""";pç 
OA-1G-H;ARRUELA DE PRESSÃO FABRICADA EM AÇO CARBONO BICROMATIZADO.;POLEODUTO OU SIMILAR;"3/8""";pç 
OA-1G-J;ARRUELA DE PRESSÃO FABRICADA EM AÇO CARBONO BICROMATIZADO.;POLEODUTO OU SIMILAR;"1/2""";pç 
OA-1G-L;ARRUELA DE PRESSÃO FABRICADA EM AÇO CARBONO BICROMATIZADO.;POLEODUTO OU SIMILAR;"5/8""";pç 
OA-1I-D;"ARRUELA DE PRESSÃO FABRICADA EM AÇO INOX AISI 304, 3/8""";POLEODUTO OU SIMILAR;"5/32""";pç 
